X|Y|Origin|Predict
923651.625|1932728|77.11|84.44
924095.1875|1932827|35.71|31.36
923654.875|1933088|221.83|206.95
922862.375|1932479|34.15|28.36
923048.6875|1931347|26.46|20.70
922858.125|1932016|52.02|52.97
923058.625|1932425|97.67|87.67
923055.3125|1932066|23.38|17.69
923200.5|1931808|13.72|8.17
923358.875|1932988|378.22|383.38
923449.8125|1932165|54.67|48.85
922602.1875|1930940|24.32|18.60
922618.375|1932686|29.47|23.69
922621.6875|1933046|30.98|25.19
922162.8125|1931304|25.04|19.32
922975.875|1928779|18.23|12.61
923052.375|1931758|35.62|29.80
923351.375|1932166|27.02|21.26
923070.875|1933761|62.24|54.21
923072.8125|1933966|0.9|-4.36
923375.375|1934786|9.05|2.94
922293.3125|1934744|15.03|8.34
923562.6875|1933756|14.98|8.30
922569.3125|1932687|21.42|14.15
923106.875|1932322|59.27|48.23
923165.875|1933401|21.19|13.95
922972.125|1933711|201.33|187.66
922983|1934892|11.23|4.90
923026.5|1934275|11.05|4.74
921924.1875|1932076|23.26|15.81
922469.875|1932585|21.76|14.47
922877.125|1934071|10.1|3.89
923278.5|1934941|10.58|4.31
922826.625|1933917|57.71|45.07
922875.6875|1933917|50.89|38.97
923768.8125|1934782|7.07|1.16
921823.8125|1931872|22.91|15.52
922588.3125|1934741|14.09|7.50
923159.8125|1932733|73.22|62.85
922561.125|1931814|18.7|13.08
922855.8125|1931760|47.66|38.63
922932.875|1934790|9.76|4.30
923409.5|1933141|87.68|73.90
923849.3125|1932829|77.72|70.30
922827.875|1934071|18.45|10.86
923646.875|1932215|62.21|50.18
922880.375|1934430|37.03|28.78
922871.875|1933506|41|30.91
923211.875|1933041|172.06|176.97
923349.125|1931909|4.73|-1.09
923218|1933708|44.46|34.02
923213.3125|1933195|51.3|40.23
924045|1932725|36.85|27.19
923749.875|1932727|138.92|127.20
923844.625|1932316|41.45|31.32
923853.875|1933343|130.88|111.03
923262|1933143|64.58|52.36
923802.875|1933138|48.69|37.85
922956|1931964|11.11|9.12
923604.3125|1932934|65.48|47.22
923166.875|1933503|40.55|26.86
922738.125|1934997|20.95|11.21
923172.625|1934120|13.99|5.72
923458.3125|1933090|97.52|74.15
922834.625|1934791|58.66|50.78
922416.375|1932123|34.85|30.66
923109.6875|1932630|42.84|32.44
923947.125|1932777|38.68|28.71
923755.625|1933344|39.71|29.64
923312.625|1933296|73.04|70.61
923212.3125|1933092|60.62|48.59
923315.875|1933656|29.95|22.21
924159.8125|1934522|15.52|8.90
923027|1934326|16.15|9.48
923063.8125|1932990|36.43|24.46
922822.3125|1933455|29.3|31.22
923117.3125|1933452|29.63|23.38
923172.125|1934068|8.35|2.79
923169.3125|1933760|33.1|26.77
923217.125|1933606|36.85|30.45
923916.3125|1934781|3.35|-2.04
924208.875|1934521|5.9|0.28
921603|1934545|7.22|1.43
922539.625|1934793|18.32|11.39
923269.125|1933913|3.02|-2.43
923214.6875|1933349|83.27|76.72
923069.875|1933658|111.96|95.91
923661.875|1933858|58.99|51.43
922829.375|1934225|3.67|-1.87
923755.125|1933292|116.68|102.31
923457.8125|1933038|15.89|9.36
923221.3125|1934068|2.54|-2.88
923804.8125|1933343|90.05|76.48
923384.375|1935761|10.91|4.74
922096.125|1934695|20.16|13.09
923474.3125|1934836|2.47|-2.93
923510.1875|1933397|2.34|-3.06
923509.6875|1933346|5.85|0.02
923064.8125|1933093|55.24|44.25
923458.6875|1933141|15.43|8.93
922219.6875|1932125|3.26|-2.18
922377.8125|1927963|1.84|-3.47
922047.375|1934746|2.18|-3.14
922636.875|1934690|1.96|-3.37
923250.6875|1931910|11.9|6.33
923151.8125|1931860|1.75|-3.57
922411.625|1931610|21.78|15.98
922519.125|1932585|3.1|-2.34
922856.6875|1931862|2.75|-2.62
922807.125|1931811|20.14|14.38
922459.875|1931506|3.02|-2.38
923160.875|1927493|7.52|2.77
921886.3125|1928019|5.51|0.64
921939.3125|1928429|6.75|1.94
921839.875|1928327|6.53|1.71
921987.125|1928275|5.56|0.69
922772.125|1933353|26.96|18.52
921403.375|1934239|21.89|14.01
923162.1875|1932990|150.5|156.71
923015.625|1933094|146|148.32
923115.875|1933298|118.06|101.46
924092.8125|1932570|41.89|40.25
922440.8125|1934743|19.46|12.45
922489.875|1934742|19.24|12.25
923161.6875|1932938|224.3|223.88
922460.375|1931558|29.32|23.56
921934.875|1927967|13.73|8.19
923153.625|1932065|43.79|40.90
923298.375|1931756|9.14|3.70
923059.625|1932528|35.68|29.89
923100.3125|1931603|25.18|19.45
923299.8125|1931910|15.43|8.97
923107.375|1932374|90.88|82.17
923264.375|1933400|81.41|74.24
923350|1932012|37.89|30.42
923347.625|1931755|7.07|1.69
923401.875|1932320|170.96|158.76
923401.375|1932268|125.57|127.18
922771.5|1927959|18.38|12.75
922469|1932482|33.16|27.39
922957.375|1932118|56.25|47.47
922621.1875|1932995|31.01|25.25
922761.625|1932223|30.87|25.07
923396.8125|1931755|6.43|1.05
923120.625|1933812|18.14|11.17
922713.375|1932326|44.15|36.58
923109.3125|1932579|27.4|19.63
923228.875|1934890|10.35|4.11
923075.625|1934275|60.8|48.78
923121.625|1933915|11.23|4.05
923911.125|1934216|10.15|3.95
923064.3125|1933042|78.26|65.98
922969.8125|1933454|56.43|48.48
922871.375|1933455|55.17|55.94
923019.875|1933556|157.55|142.91
923456.8125|1932936|186.23|172.71
924061.375|1934522|12.74|6.27
922369.6875|1932381|52.45|41.86
921849.8125|1934646|16.2|9.41
922729.625|1934072|31.99|24.85
923019.375|1933505|95.71|98.61
922968.3125|1933300|53.03|53.46
921482.875|1932235|19.84|12.71
922923.375|1933762|92.9|77.17
922632.1875|1934176|15.34|8.62
922308.5|1936388|22.73|13.59
923148.375|1931500|15.98|10.42
922318.625|1932176|56.27|46.74
922560.6875|1931762|18.63|13.01
923247.875|1931602|14.69|9.15
923496.5|1931908|6.55|1.21
922660|1931864|18.38|12.77
922660.875|1931967|33.91|24.55
923897.625|1932726|36.38|26.76
923409.875|1933193|209.74|190.20
923800.125|1932830|114.61|112.36
923751.8125|1932933|92|79.68
923557.5|1933191|54.86|43.46
923446.375|1931806|9.11|2.53
924192.125|1932672|84.73|72.11
923407.625|1932936|72.94|60.11
923804.3125|1933292|42.71|32.45
923844.125|1932264|50.54|49.51
923706.875|1933396|114.98|102.30
922978.8125|1934430|22.54|12.47
921979.625|1932744|35.95|23.16
923846|1932470|29.86|18.30
923123.875|1934171|14.99|6.51
921898.875|1934645|47.99|36.50
923126.3125|1934428|41.15|29.06
922982.125|1934789|19.35|9.95
924193.125|1932775|26.91|18.23
923111.125|1932785|50.92|39.74
923162.625|1933041|55.82|44.21
923360.8125|1933193|121.63|111.28
923412.3125|1933450|8.05|2.99
923208.625|1932681|81.41|81.77
923357.5|1932834|115.7|102.83
923211.375|1932989|107.87|111.92
923158.875|1932630|50.35|39.23
923508.3125|1933192|60.64|48.62
924192.625|1932723|24.68|17.34
923220.8125|1934016|7.45|1.57
921997.3125|1934644|19.06|18.32
922540.125|1934845|16.88|15.59
922831.8125|1934482|16.25|14.82
922539.125|1934742|17.08|15.82
923265.8125|1933554|23.65|24.08
922907.3125|1932016|23.67|24.10
923101.1875|1931706|27.81|19.39
923196.6875|1936739|13.81|7.82
922508.625|1936745|3.64|-1.76
923621.6875|1934835|2.93|-2.44
923811.375|1934062|3.47|-2.03
923263.875|1933348|69.16|56.61
923215.625|1933451|5.4|-0.27
923802|1933035|8.93|2.97
923313|1933348|28.08|24.83
924209.8125|1934624|1.84|-3.51
923376.875|1934940|2.93|-2.52
922821.3125|1933352|6.77|0.99
923998.6875|1933033|10.19|4.11
922830.3125|1934328|3.89|-1.64
924010.375|1934317|2.16|-3.21
923554.1875|1932832|10.66|4.53
923667.625|1934475|1.46|-3.85
923653|1932882|9.94|3.88
924258.125|1934521|1.53|-3.81
923517.3125|1934168|3.6|-1.90
923507.8125|1933141|13.84|7.46
924110.125|1934471|4.16|-1.39
922868.125|1933095|7.25|1.43
922362.125|1931559|3.06|-2.34
922951.3125|1931451|2.66|-2.72
921504.1875|1934495|2.38|-2.98
922608.875|1931659|2.97|-2.42
923346.6875|1931652|2.02|-3.32
923249.8125|1931807|12.37|6.80
922651.375|1930940|2.48|-2.87
921936.375|1928121|19.3|14.12
921838.875|1928225|6.5|1.68
923263.5|1927955|7.45|2.70
922588.8125|1934793|16.47|9.21
923651.125|1932677|88.51|77.60
922933.375|1934841|16.79|13.17
922638.375|1934844|18.4|11.47
923080.875|1934840|14.56|7.97
922923|1933711|94.03|85.06
923707.375|1933447|115.63|106.07
923461.5|1933449|11.2|6.65
923300.3125|1931961|38.66|32.02
924143|1932672|84.22|75.73
923362.3125|1933347|23.47|19.89
923057.1875|1932271|29.38|24.77
921986.125|1928172|13.81|8.27
923005.6875|1932015|45.5|39.16
923099.8125|1931552|24.17|18.47
922763.625|1932428|33.34|27.54
923156.5|1932373|30.82|25.05
923548.625|1932216|43.58|37.77
923397.3125|1931806|4.41|-0.88
922849.625|1931092|22.88|17.18
922817.5|1932941|33.88|28.10
923794.5|1932213|133.13|130.36
922650.875|1930888|24.08|18.37
923056.6875|1932220|44.64|38.81
922070.6875|1931972|31.68|25.91
923218.375|1933760|65.29|50.02
923075.1875|1934223|40.25|29.54
923263.375|1933297|21.17|13.92
923961.625|1934369|9.88|3.68
923022.8125|1933864|9.61|3.45
923023.6875|1933967|2.21|-3.22
923413.3125|1933552|75.01|65.34
922781.625|1934380|31.82|24.73
922668.125|1932737|22.32|14.98
923229.8125|1934992|10.85|4.56
922680.375|1934073|40.95|29.02
922920.625|1933454|130.63|125.38
922922|1933608|63.95|55.89
922933.875|1934892|11.36|5.01
923314.375|1933502|10.26|4.65
922711.5|1932121|19.01|13.37
923151.3125|1931808|10.58|5.12
922461.375|1931661|54.74|43.88
922660.375|1931916|52.38|43.07
922367.8125|1932175|56.14|46.63
923099.3125|1931501|15.97|10.39
922753.125|1931298|15.77|10.20
922709.625|1931915|18.18|12.57
922519.625|1932636|18.92|13.28
922065.875|1931459|16.15|10.60
923558.875|1933346|49.61|36.33
923209.5|1932784|108.72|93.90
923949.5|1933034|49.91|38.96
922769.3125|1933045|37.42|27.70
923900.8125|1933086|46.73|36.05
922720.125|1933045|76.66|59.89
923752.8125|1933036|7.79|1.56
924144.375|1932826|36.4|29.47
923073.3125|1934018|3.42|-2.51
922929.125|1934379|22.3|12.28
923177.8125|1934685|20.81|11.10
922883.8125|1934790|19.82|10.31
923316.3125|1933707|36.76|23.80
923752.3125|1932984|55.08|38.67
